城市ID,名称,描述,NPC,,,,,,,,
city01,新岛,失忆之城,NPC0101,NPC0102,,,,,,,
city02,流风湾,废墟之城,NPC0201,NPC0202,NPC0203,NPC0204,NPC0205,NPC0206,,,
city03,双星城,双星城,NPC0301,NPC0302,NPC0303,NPC0304,NPC0305,NPC0306,NPC0307,NPC0308,NPC0309
city04,新岛,被毁灭的失忆之城,,,,,,,,,
city05,天外村,天外村,NPC0501,NPC0502,NPC0503,NPC0504,NPC0505,NPC0506,NPC0507,NPC0508,
city06,极光城,极光之城,NPC0601,NPC0602,NPC0603,NPC0604,NPC0605,,,,
city07,丛林沼泽,丛林沼泽,NPC0701,NPC0702,NPC0703,NPC0704,NPC0705,,,,
city08,流沙古城,流沙古城,NPC0801,NPC0802,NPC0803,NPC0804,NPC0805,,,,
city09,炎城,炎城,NPC0901,NPC0902,NPC0903,NPC0904,NPC0905,NPC0906,,,
city10,炎城,崩坏的炎城,NPC1001,NPC1002,NPC1003,NPC1004,,,,,
city11,双星城,崩坏的双星城,NPC1101,NPC1102,NPC1103,NPC1104,NPC1105,NPC1106,,,
city12,极光城,崩坏的极光之城,NPC1201,NPC1202,NPC1203,,,,,,
city13,新岛,被毁灭的失忆之城,,,,,,,,,
city14,天外村,崩坏的天外村,NPC1401,NPC1402,NPC1403,NPC1404,NPC1405,,,,
city15,炎城,崩坏的炎城,NPC1501,NPC1502,NPC1503,NPC1504,,,,,
city16,冰雪长城,冰雪长城,NPC1601,NPC1602,NPC1603,NPC1604,NPC1605,NPC1606,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,75,,,,,,,,
